"Freq [MHz]","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='36mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='40mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='36mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='40mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='36mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='40mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='36mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='40mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='36mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='40mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='36mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='40mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='36mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='40mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='36mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='40mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='36mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='36mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='36mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='36mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='36mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='36mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='36mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='36mm'","dB(S(1,1)) [] - WTRIAGX='36mm' WTRIAGY='36mm'","dB(S(1,1)) [] - WTRIAGX='40mm' WTRIAGY='36mm'","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='40mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='40mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='40mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='40mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='40mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='40mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='40mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='40mm'","dB(S(1,1)) [] - WTRIAGX='36mm' WTRIAGY='40mm'","dB(S(1,1)) [] - WTRIAGX='40mm' WTRIAGY='40mm'"
50,-0.0274490196761092,-0.0274490196761092,-0.0274490196761092,-0.0274490196761092,-0.0274490196761092,-0.0274490196761092,-0.0274490196761092,-0.0274490196761092,-0.0274490196761092,-0.0274490196761092,-0.0283691012649084,-0.0299308489155671,-0.0304416476411114,-0.031189679059119,-0.0318234867796433,-0.0321699766615711,-0.0342703778192223,-0.0349195736838478,-0.0359258777119329,-0.0357860396693022,-0.0305562768775604,-0.0321932677851419,-0.0348149404943714,-0.036867540373466,-0.0400368752599488,-0.0411761219177016,-0.0431472508493621,-0.0451822709158375,-0.0467562233376319,-0.0491649209959241,-0.0328383429214202,-0.0363932110976184,-0.0400670352170355,-0.0435955764948103,-0.0469799772373121,-0.050891237287693,-0.0543434347633185,-0.0583627165135127,-0.0630842667100566,-0.0670187302021151,-0.0350910035556408,-0.0401222357834216,-0.0466964767689933,-0.0514595128687351,-0.0566134285138593,-0.0611020518792308,-0.0677666389036058,-0.0723092249142307,-0.0774894084590121,-0.0824619709314018,-0.0378919896551321,-0.0443540810998785,-0.0513761889186362,-0.0575814271729376,-0.0638898653812435,-0.0700406108811883,-0.079815790737001,-0.0835193764175287,-0.090329363710744,-0.0981288792101132,-0.0397631870986878,-0.0474619881623394,-0.0552983123357594,-0.0631496834317634,-0.0707855582974477,-0.0783882632103486,-0.0868041260900914,-0.0943030848329189,-0.101725951164231,-0.109514461578122,-0.0419787166356153,-0.0510029749298153,-0.0601519726236249,-0.0690052579123303,-0.0774865741676538,-0.0861120254891969,-0.095074473321343,-0.103391993357226,-0.111576968818029,-0.119402046809891,-0.0447580303047315,-0.0548330872790873,-0.0650980429964887,-0.0746329776812132,-0.0840258784715954,-0.0927443681766555,-0.103262957779838,-0.111518773252271,-0.119854613647672,-0.12837725557585,-0.0460946234085862,-0.057476702079189,-0.0680923478473368,-0.0780527248172446,-0.0876077398435351,-0.096743414508399,-0.106007325151551,-0.115492084621852,-0.122866871937251,-0.132501352245187
55,-0.0316706010644479,-0.0316706010644479,-0.0316706010644479,-0.0316706010644479,-0.0316706010644479,-0.0316706010644479,-0.0316706010644479,-0.0316706010644479,-0.0316706010644479,-0.0316706010644479,-0.0326626322790481,-0.034422195321555,-0.0349902978753368,-0.0358434527623692,-0.0365717915387031,-0.0369602707788566,-0.0393373937172242,-0.0400734449528825,-0.0412183453321963,-0.0410768472213261,-0.0350885676672812,-0.0369127776877196,-0.039888972157314,-0.0422205886700414,-0.045819629915443,-0.0471419979877013,-0.0493946203684062,-0.0517311323694375,-0.0535414545653179,-0.0563261745167007,-0.0376170103190515,-0.0416199244884984,-0.0457889549788899,-0.0498002094993601,-0.0536552906872316,-0.0581126167275763,-0.0620558247727697,-0.0666640676376081,-0.0720598075215103,-0.0765605199998215,-0.0400935480720822,-0.0457578035989043,-0.0531624189826795,-0.0585704462597937,-0.0644212548392963,-0.0695252483836913,-0.077036482105996,-0.0822541440975825,-0.0881579169291888,-0.0938299296001888,-0.0432060100340709,-0.0504619454019124,-0.0583548878688956,-0.0653473509111768,-0.0724524488116084,-0.0793730703412817,-0.0902854865992925,-0.0946211772885929,-0.102315890644358,-0.111077104962043,-0.0452216302331482,-0.0538259799671733,-0.0625955027975274,-0.0714128497986177,-0.0799756478899241,-0.0885341004774592,-0.0980002970157548,-0.106474221850049,-0.11481474660278,-0.123556014150414,-0.0476425746797452,-0.0576797475645133,-0.0679056371978134,-0.0778172066287291,-0.087327866096953,-0.0970168786746004,-0.107086969680286,-0.116395973288866,-0.125536372163868,-0.13415301501017,-0.0506810945718836,-0.061858022097268,-0.0733201513738617,-0.083976437775789,-0.0944875243868036,-0.104233169869611,-0.115840177003078,-0.124948091699583,-0.134105862448423,-0.143465384040663,-0.0520735786129732,-0.0646901956646223,-0.0765146904771044,-0.0876172858600316,-0.0982850275065331,-0.108463572031226,-0.11875757663177,-0.129182701960285,-0.137283663687116,-0.147711117084271
60,-0.0363314008914505,-0.0363314008914505,-0.0363314008914505,-0.0363314008914505,-0.0363314008914505,-0.0363314008914505,-0.0363314008914505,-0.0363314008914505,-0.0363314008914505,-0.0363314008914505,-0.0373927065931962,-0.0393673890480678,-0.0399971954171907,-0.0409670119128524,-0.0417998461771106,-0.0422366458370881,-0.0449200080565712,-0.0457519464307171,-0.0470521110128052,-0.0469125744568701,-0.0400709238281357,-0.0420963900260326,-0.0454648391955694,-0.0481078923485078,-0.0521829454693066,-0.0537165023789907,-0.0562861371255818,-0.0589621887704979,-0.0610424033560782,-0.0642552433164576,-0.0428563222969286,-0.0473477558618556,-0.0520657530746898,-0.0566145446597733,-0.0609955147866854,-0.0660642340459348,-0.0705639966501542,-0.0758579766498487,-0.0820398708365097,-0.0872018952614784,-0.04556207954457,-0.0519153383150796,-0.0602323821204961,-0.0663717006763329,-0.0730188256439183,-0.0788500356437204,-0.0873461225798083,-0.0933547571710946,-0.100095028662166,-0.106577611030447,-0.0490027216326097,-0.0571254147219977,-0.0660150446823838,-0.0738980965347711,-0.0818906960643538,-0.0896883124467861,-0.10186596010525,-0.10694863337284,-0.115643408323584,-0.125477826515409,-0.0511560131026877,-0.0607610979857571,-0.0705783627154133,-0.0804828489079424,-0.09008756871432,-0.0997176589997479,-0.110351037959593,-0.119921234283406,-0.129274348291653,-0.139060029155862,-0.0537935462959098,-0.064962624838581,-0.0763892162205208,-0.087477108406645,-0.0981254247948864,-0.108991246591468,-0.12029181497582,-0.130683359547607,-0.140868662214002,-0.150301980932118,-0.05713101191536,-0.069525516946613,-0.0823082255674212,-0.0941934023151735,-0.10592873959175,-0.116791906579252,-0.129542090037424,-0.139548200218566,-0.149557027340209,-0.15978218412115,-0.0585668628954721,-0.0725412075567502,-0.0856838333557696,-0.0980259172097424,-0.109898182856331,-0.121210515455101,-0.132611320534425,-0.144020062257531,-0.152867172413343,-0.164083914602861
65,-0.0414573020155966,-0.0414573020155966,-0.0414573020155966,-0.0414573020155966,-0.0414573020155966,-0.0414573020155966,-0.0414573020155966,-0.0414573020155966,-0.0414573020155966,-0.0414573020155966,-0.042582940162868,-0.0447913469283773,-0.0454869448190968,-0.0465862747169077,-0.0475325440090061,-0.0480268985040641,-0.0510500579417484,-0.0519884903814302,-0.0534615974565488,-0.0533287429085703,-0.0455261933520816,-0.0477670808692819,-0.0515694108717573,-0.0545603433387335,-0.0591639368784426,-0.0609410784543757,-0.0638684188420725,-0.0669293141735115,-0.0693187038565137,-0.0730225554871065,-0.0485783326263083,-0.0536031283239156,-0.0589310215973928,-0.0640802746099944,-0.0690511244434285,-0.0748058694321843,-0.0799369085990871,-0.0860227338019264,-0.0931066825578406,-0.0990303573759972,-0.0515170412736855,-0.0586215581525329,-0.0679417147180037,-0.0749056605262703,-0.082452107584017,-0.0891218103943344,-0.0987353959455892,-0.105659126045991,-0.11335433965084,-0.120764094150801,-0.0553033749685493,-0.0643721524024224,-0.0743805697569838,-0.0832571613765512,-0.0922274708621196,-0.101006629452956,-0.114574457136052,-0.120527907117134,-0.130341250849736,-0.141357593301698,-0.0575843592127479,-0.0682820970338404,-0.0792552521622368,-0.0903636238765891,-0.101124004629692,-0.111945544588479,-0.123865797570899,-0.134656558145868,-0.145113106108121,-0.156026821154767,-0.0604446806943323,-0.0728501602192535,-0.0855957766657205,-0.0979780830879592,-0.109875030963498,-0.122034059997729,-0.134688061826852,-0.146247295695911,-0.157555436775768,-0.167808578349989,-0.0641083338773652,-0.0778228265531376,-0.0920500479745892,-0.105272315954196,-0.118338392189484,-0.130405847980198,-0.144339539029157,-0.155274448910071,-0.166141437116331,-0.177237228755124,-0.0655659947777508,-0.0810098873929676,-0.0955795484555943,-0.109257329807656,-0.122424287415373,-0.134955942003256,-0.147529993283132,-0.159945084521601,-0.169539239270836,-0.181506460850253
70,-0.0470841724238363,-0.0470841724238363,-0.0470841724238363,-0.0470841724238363,-0.0470841724238363,-0.0470841724238363,-0.0470841724238363,-0.0470841724238363,-0.0470841724238363,-0.0470841724238363,-0.04826678293927,-0.050729532253942,-0.051494752795694,-0.0527382543696839,-0.0538062193933066,-0.054370505955983,-0.0577724843674814,-0.058830083231461,-0.0604952545090119,-0.060375097558167,-0.0514875344043239,-0.0539586060643302,-0.0582417403242524,-0.0616223395149587,-0.066815084992403,-0.06887372851006,-0.0722060929957793,-0.0757060450005064,-0.0784511248457317,-0.0827217578057329,-0.0548157986491563,-0.0604246275718629,-0.0664323465282922,-0.0722548254899999,-0.0778897609563991,-0.0844159013466326,-0.09026371653212,-0.0972602700166124,-0.105371428434162,-0.112166871556359,-0.0579895869145006,-0.065915206633916,-0.0763389264606364,-0.0842302439800485,-0.092786921291709,-0.10041211240032,-0.111275057503073,-0.119249189567353,-0.128023971055406,-0.136483316087888,-0.0621399747051151,-0.0722410625180192,-0.0834927918939689,-0.0934698688485307,-0.10351010601271,-0.11337518727581,-0.128450060504075,-0.135410734314094,-0.146461800867626,-0.158761165868906,-0.0645338072564126,-0.0764159074797046,-0.0886523417429011,-0.101080560771051,-0.113109308637906,-0.125244127826054,-0.138571356789796,-0.15070805418858,-0.162351444400776,-0.174463987554712,-0.06761796135974,-0.0813564156828872,-0.0955366986223633,-0.109330853988375,-0.122588551753069,-0.136158731440104,-0.150287223844007,-0.16309030462156,-0.175582983053926,-0.186631654642073,-0.0716262794279575,-0.0867526479869958,-0.102547746858243,-0.117215235101169,-0.131718225605766,-0.145071819435933,-0.160212187252726,-0.172087797112557,-0.183793663181634,-0.195736082239233,-0.0730751752761949,-0.0900897161063437,-0.106193890876967,-0.121302112342238,-0.135851926382524,-0.149681707948234,-0.163482917324973,-0.17690259264537,-0.187222095059456,-0.199860046109867
75,-0.0532606245872544,-0.0532606245872544,-0.0532606245872544,-0.0532606245872544,-0.0532606245872544,-0.0532606245872544,-0.0532606245872544,-0.0532606245872544,-0.0532606245872544,-0.0532606245872544,-0.054490261483045,-0.0572308610392963,-0.0580693837358229,-0.0594741460457281,-0.0606722903206555,-0.0613218564973646,-0.0651488905393606,-0.0663409835765317,-0.0682193846410677,-0.0681194838278719,-0.0580012840617368,-0.0607185131077769,-0.0655364230764779,-0.0693554983711542,-0.0752083985924272,-0.0775935028844296,-0.081386677593825,-0.0853909107730599,-0.0885473202961632,-0.0934762078697388,-0.0616151003501693,-0.0678663034964477,-0.0746351980154457,-0.0812159768827743,-0.087601725940245,-0.094997959012036,-0.101661713243917,-0.109705783949613,-0.118984523733467,-0.126776576874947,-0.0650245205439672,-0.0738506852565781,-0.0854909727177814,-0.0944257603996084,-0.104116636661874,-0.112826641393585,-0.125076382698809,-0.13425193861033,-0.144239508747146,-0.153878546109943,-0.069558478805636,-0.0807872619894193,-0.0934164526193295,-0.104609985146962,-0.115817595554308,-0.126876698993628,-0.143566283034092,-0.151687420396352,-0.164094933817303,-0.177766866838685,-0.0720444222664781,-0.0852067872196047,-0.0988191841489966,-0.112687467512218,-0.12609910439145,-0.139671589718659,-0.154525229495082,-0.168133185495867,-0.181035965768706,-0.194399955975471,-0.0753487103107453,-0.0905157685881718,-0.106248651050937,-0.121573634229375,-0.136305644837862,-0.151405914479744,-0.167126827170341,-0.181237691116546,-0.194955843034589,-0.20674225118434,-0.0797148967143485,-0.0963396778409819,-0.113827489801942,-0.13004909812974,-0.14609500275465,-0.160810738487157,-0.177161090940481,-0.189967654969736,-0.202462609667892,-0.215193597890932,-0.0811152638370261,-0.0997950568066322,-0.117541034684327,-0.134173651913786,-0.150192640559794,-0.165391983820613,-0.180459847912248,-0.194854337369229,-0.205851377137048,-0.219034942835901
80,-0.0600515626148892,-0.0600515626148892,-0.0600515626148892,-0.0600515626148892,-0.0600515626148892,-0.0600515626148892,-0.0600515626148892,-0.0600515626148892,-0.0600515626148892,-0.0600515626148892,-0.0613155086266823,-0.0643614624497041,-0.0652769760238584,-0.0668633243291289,-0.0682020017467273,-0.0689544406556935,-0.0732622122530152,-0.0746075364907603,-0.0767231704826665,-0.0766529417368198,-0.0651306720489892,-0.0681120476865453,-0.0735279870475978,-0.0778435474101293,-0.0844409975124527,-0.0872065190673443,-0.0915271627957132,-0.096114727851338,-0.0997497202843288,-0.10544796841216,-0.0690400900095232,-0.0760021415936933,-0.0836282858560441,-0.091068263021187,-0.0983075338308856,-0.106689848161706,-0.114286689468797,-0.123540078657074,-0.134149241461152,-0.143083394576045,-0.0726842618381837,-0.0825030613379803,-0.0954901725406489,-0.105603600627066,-0.116572254746897,-0.126516592665903,-0.140304495504223,-0.15085452717948,-0.162200832175485,-0.173160781761299,-0.0776231954120413,-0.0900884335817257,-0.104247919205077,-0.116789144908849,-0.12927084125956,-0.141641250443803,-0.160046987397556,-0.169503122980358,-0.183386193674631,-0.198506419046753,-0.0801741569097928,-0.0947229356028144,-0.109836559565256,-0.125276115904745,-0.140192479587533,-0.155333119425983,-0.171833150996999,-0.18703806960926,-0.201258849691359,-0.215903157683707,-0.0836910368347212,-0.100389669772199,-0.117802684506201,-0.134784459665886,-0.151108759935481,-0.167860685369207,-0.185289420003988,-0.200756873121151,-0.215716945025253,-0.228143313869708,-0.0884268308063929,-0.106638944041891,-0.125951667093591,-0.143840469782119,-0.161537039673357,-0.177685127750296,-0.195226875306072,-0.208930802596546,-0.222131043084503,-0.235554244367072,-0.089729324864708,-0.110170417412089,-0.129669834866673,-0.147922716976395,-0.165496816794512,-0.182130622130053,-0.198489291281371,-0.213798392919047,-0.225395711200833,-0.238952397448172
85,-0.0675428023020384,-0.0675428023020384,-0.0675428023020384,-0.0675428023020384,-0.0675428023020384,-0.0675428023020384,-0.0675428023020384,-0.0675428023020384,-0.0675428023020384,-0.0675428023020384,-0.0688253672280902,-0.072209610583535,-0.0732060362986959,-0.0749985891357471,-0.0764926599234364,-0.0773663614999115,-0.08222292121531,-0.0837446297900691,-0.0861253596309542,-0.0860964803338875,-0.0729606927887884,-0.0762272870024045,-0.0823166997181421,-0.0871988331941001,-0.0946426379313892,-0.0978540788549989,-0.102782918882023,-0.108050550914528,-0.11224631373327,-0.118850134991245,-0.0771772152404857,-0.0849321106122217,-0.0935308598756577,-0.10195171043924,-0.110168156729174,-0.119675502554598,-0.128346642641702,-0.139005827759289,-0.151139942419512,-0.161389733505063,-0.081054185002762,-0.0919748518838729,-0.106463317181781,-0.117917590684165,-0.130335815748868,-0.141694245994268,-0.157196647418002,-0.169324732770754,-0.182194355209104,-0.194632593491326,-0.0864227231286418,-0.10025308747852,-0.116126298099741,-0.130169826722165,-0.144046733393902,-0.157862301020699,-0.178086829310559,-0.189078677779934,-0.204559851173054,-0.221190308893314,-0.0890053252378336,-0.105065133842987,-0.121827152272075,-0.138989136021847,-0.155547846436143,-0.172400382708931,-0.190671765873943,-0.207602585235427,-0.223183714323312,-0.239107994424778,-0.0927247952801731,-0.111075813980332,-0.130316232031452,-0.149096938575293,-0.167142423669921,-0.18567529264121,-0.204928447501573,-0.221784159329332,-0.237975961025468,-0.250897770979927,-0.0978450837691496,-0.117746634256715,-0.13903442156459,-0.158714713534942,-0.178176263892688,-0.195822875849843,-0.214515016891355,-0.229057999569769,-0.242843157365668,-0.256821168352617,-0.0989900790309554,-0.12130211882675,-0.142679869790069,-0.16265661369826,-0.181875172505773,-0.20000516538023,-0.217664195633334,-0.23379666222385,-0.245884557245837,-0.259596017791809
90,-0.0758471586019475,-0.0758471586019475,-0.0758471586019475,-0.0758471586019475,-0.0758471586019475,-0.0758471586019475,-0.0758471586019475,-0.0758471586019475,-0.0758471586019475,-0.0758471586019475,-0.0771294638084356,-0.0808922631567977,-0.0819740473100297,-0.0840031246558164,-0.0856759011285722,-0.0866876573166382,-0.092177337297311,-0.0939043814433513,-0.0965832299822585,-0.0966101682134379,-0.0816045645569227,-0.0851819530219161,-0.0920363171636951,-0.0975710509291343,-0.105985888269544,-0.109723658010523,-0.115359784232128,-0.121427238168377,-0.126285359144466,-0.133963663320245,-0.0861423782433946,-0.0947903385588714,-0.104502621278294,-0.114053705889401,-0.123398888864943,-0.134201047773495,-0.144120104971406,-0.156429326294631,-0.170326529734236,-0.182102895149286,-0.0902498011811775,-0.102405156583473,-0.118583756591725,-0.131579074149214,-0.145658371428142,-0.158654183879185,-0.176087052498669,-0.190038504069157,-0.204622421976541,-0.218719063219927,-0.0960779220274462,-0.111431447037703,-0.129248432578708,-0.144982990809601,-0.160397199478981,-0.175818159614964,-0.197977716476308,-0.210737416223509,-0.227948152543281,-0.246139789918987,-0.0986531049784489,-0.116378143476546,-0.134969899927676,-0.154037304537525,-0.172403773343759,-0.191136685447372,-0.211317928647655,-0.230112941993991,-0.247079210583666,-0.264248727698714,-0.102564629674383,-0.122720415925945,-0.143969003530462,-0.164720652684045,-0.184638120204678,-0.20509894100659,-0.226302678233148,-0.24456067244952,-0.261947631142027,-0.275166569372155,-0.108093353601619,-0.129814310380708,-0.153261680493616,-0.1748808868826,-0.196237255461105,-0.215448785379582,-0.235229955251111,-0.250530050221861,-0.264741793043524,-0.279095609358862,-0.109009771485298,-0.133333246621608,-0.156742002357192,-0.17856411294212,-0.199527266252217,-0.219219200973616,-0.238176851148072,-0.255012379965791,-0.267446063086502,-0.28105425087061
95,-0.0851125506833073,-0.0851125506833073,-0.0851125506833073,-0.0851125506833073,-0.0851125506833073,-0.0851125506833073,-0.0851125506833073,-0.0851125506833073,-0.0851125506833073,-0.0851125506833073,-0.086372302259113,-0.0905638111545744,-0.0917362932246716,-0.0940398157479141,-0.0959287564925491,-0.0970901212291522,-0.103318848615709,-0.105287903899335,-0.108304699895342,-0.10840542402296,-0.0912123686770593,-0.0951325306533476,-0.102864498123268,-0.109159025829503,-0.118699935697434,-0.123063841518407,-0.129530516581422,-0.136547963361705,-0.142195467420773,-0.151160330209818,-0.0960901674349966,-0.105756182743487,-0.116757181330815,-0.1276251239272,-0.138288153597643,-0.150596501040602,-0.161980821989839,-0.17624976544985,-0.192207223048645,-0.205770193577889,-0.100426430947626,-0.113981952334609,-0.13208755564965,-0.146877145413426,-0.162884184145168,-0.1778020417458,-0.197440361318682,-0.213516708451222,-0.230041771263912,-0.246007395731641,-0.106752601014697,-0.123829933379638,-0.143889160788977,-0.161551943585235,-0.178674771017918,-0.19590058755293,-0.220143044057487,-0.234939525896454,-0.254028009897446,-0.273826383484315,-0.109276783857267,-0.128865841893741,-0.149519198201935,-0.170722608273068,-0.191106394582043,-0.211929563848543,-0.234186266886803,-0.25500319195445,-0.273361455086589,-0.291702006426252,-0.11337186137226,-0.135534568816284,-0.15902404718856,-0.181967766682517,-0.203946428490161,-0.226516385003916,-0.249821049662838,-0.269479090495247,-0.288001538651116,-0.301257784915113,-0.119349781315454,-0.143067652849794,-0.168917206288935,-0.19266405107636,-0.216075074965943,-0.236925672583814,-0.257719857059587,-0.273675037092566,-0.288116650431049,-0.302627774877451,-0.119953179601662,-0.146483005859796,-0.172124836085836,-0.195947679529905,-0.218778758549031,-0.240115008067565,-0.260364943968558,-0.277759431852125,-0.290356407986937,-0.303575094360751
